r,vgr,u,v,w
160500.0,6.230529595015576,0.0,6.230529595015576,0.0
160887.29833462075,6.215531060259054,0.0,6.215531060259054,0.0
161112.70166537925,6.206835275327552,0.0,6.206835275327552,0.0
161500.0,6.191950464396285,0.0,6.191950464396285,0.0
161887.29833462075,6.177136874154276,0.0,6.177136874154276,0.0
162112.70166537925,6.168548113300364,0.0,6.168548113300364,0.0
162500.0,6.153846153846154,0.0,6.153846153846154,0.0
162887.29833462075,6.139214108307522,0.0,6.139214108307522,0.0
163112.70166537925,6.130730407810114,0.0,6.130730407810114,0.0
163500.0,6.116207951070336,0.0,6.116207951070336,0.0
163887.29833462075,6.101754133247266,0.0,6.101754133247266,0.0
164112.70166537925,6.093373577134628,0.0,6.093373577134628,0.0
164500.0,6.079027355623101,0.0,6.079027355623101,0.0
164887.29833462075,6.0647485288442855,0.0,6.0647485288442855,0.0
165112.70166537925,6.056469247451479,0.0,6.056469247451479,0.0
165500.0,6.042296072507553,0.0,6.042296072507553,0.0
165887.29833462075,6.028189078001878,0.0,6.028189078001878,0.0
166112.70166537925,6.020009246580193,0.0,6.020009246580193,0.0
166500.0,6.006006006006006,0.0,6.006006006006006,0.0
166887.29833462075,5.9920677605729455,0.0,5.9920677605729455,0.0
167112.70166537925,5.983985597949136,0.0,5.983985597949136,0.0
167500.0,5.970149253731344,0.0,5.970149253731344,0.0
167887.29833462075,5.956376747494458,0.0,5.956376747494458,0.0
168112.70166537925,5.948390514777729,0.0,5.948390514777729,0.0
168500.0,5.9347181008902075,0.0,5.9347181008902075,0.0
168887.29833462075,5.921108395130309,0.0,5.921108395130309,0.0
169112.70166537925,5.913216394465064,0.0,5.913216394465064,0.0
169500.0,5.899705014749262,0.0,5.899705014749262,0.0
169887.29833462075,5.886255239813967,0.0,5.886255239813967,0.0
170112.70166537925,5.878455813176451,0.0,5.878455813176451,0.0
170500.0,5.865102639296188,0.0,5.865102639296188,0.0
